,name_x,cuisine,description_x,price_category,breakfast,lunch,sandwiches,city,post_code,street,number,number_addon,phone,url,latitude,longitude,delivery_charge,min_order,payment_cash,payment_card,waiting_time,delivery_time,delivery_postcode,rating_value,rating_count,data_source,host,name_y,description_y,price
74,Mr Ma Kitchen,"['Noodles', 'Japanese', 'Chinese']","Mr Ma Kitchen, is a takeaway based in Newington Butts , London. offer great tasting Chinese, Sweet and Sour Dishes, Korean, Japanese,Cantonese and oriental food. Order online at Mr Ma Chinese London,London",,,,,London,SE11 4RN,Newington Butts,150,,02075826655,mrmaonline.co.uk,51.490970,-0.103722,2,15,ENABLED,YES,20,50,SW9 9,4.5,3,foodhub,mrmaonline.co.uk,5. Bbq Spare Ribs,Sauce,8.90
75,Mr Ma Kitchen,"['Noodles', 'Japanese', 'Chinese']","Mr Ma Kitchen, is a takeaway based in Newington Butts , London. offer great tasting Chinese, Sweet and Sour Dishes, Korean, Japanese,Cantonese and oriental food. Order online at Mr Ma Chinese London,London",,,,,London,SE11 4RN,Newington Butts,150,,02075826655,mrmaonline.co.uk,51.490970,-0.103722,2,15,ENABLED,YES,20,50,SW9 9,4.5,3,foodhub,mrmaonline.co.uk,1. Mixed Appetizers,"For two persons. Spare ribs, crab claws, prawn on toast, seaweed, spring rolls and fried squid on skewers with sweet and sour sauce",14.90
76,Mr Ma Kitchen,"['Noodles', 'Japanese', 'Chinese']","Mr Ma Kitchen, is a takeaway based in Newington Butts , London. offer great tasting Chinese, Sweet and Sour Dishes, Korean, Japanese,Cantonese and oriental food. Order online at Mr Ma Chinese London,London",,,,,London,SE11 4RN,Newington Butts,150,,02075826655,mrmaonline.co.uk,51.490970,-0.103722,2,15,ENABLED,YES,20,50,SW9 9,4.5,3,foodhub,mrmaonline.co.uk,45. Har Kau Dim Sum,6 pieces  Marinated Prawn in Rice Pastry,9.90
77,Mr Ma Kitchen,"['Noodles', 'Japanese', 'Chinese']","Mr Ma Kitchen, is a takeaway based in Newington Butts , London. offer great tasting Chinese, Sweet and Sour Dishes, Korean, Japanese,Cantonese and oriental food. Order online at Mr Ma Chinese London,London",,,,,London,SE11 4RN,Newington Butts,150,,02075826655,mrmaonline.co.uk,51.490970,-0.103722,2,15,ENABLED,YES,20,50,SW9 9,4.5,3,foodhub,mrmaonline.co.uk,46. Sui Mai Dim Sum ,6 pieces Marinated Pork in Egg Pastry,9.90
78,Napura,"['Burgers', 'Desserts', 'Mediterranean']",,,,,,Nunhead Green,SE15 3QF,Nunhead Green,30,,02074503996,napurarestaurant.com,51.465398662852,-0.05817448374693113,2,5,ENABLED,YES,10,30,SW9 9,0.0,-1,foodhub,napurarestaurant.com,Super Bock,,3.90
79,Napura,"['Burgers', 'Desserts', 'Mediterranean']",,,,,,Nunhead Green,SE15 3QF,Nunhead Green,30,,02074503996,napurarestaurant.com,51.465398662852,-0.05817448374693113,2,5,ENABLED,YES,10,30,SW9 9,0.0,-1,foodhub,napurarestaurant.com,1/4 Piri-piri Chiken  (1/4 De Frango),1/4 Chargrilled piri-piri chicken following by Rice and Chips,8.50
80,Napura,"['Burgers', 'Desserts', 'Mediterranean']",,,,,,Nunhead Green,SE15 3QF,Nunhead Green,30,,02074503996,napurarestaurant.com,51.465398662852,-0.05817448374693113,2,5,ENABLED,YES,10,30,SW9 9,0.0,-1,foodhub,napurarestaurant.com,Sagres,Portuguese beer,3.90
81,Napura,"['Burgers', 'Desserts', 'Mediterranean']",,,,,,Nunhead Green,SE15 3QF,Nunhead Green,30,,02074503996,napurarestaurant.com,51.465398662852,-0.05817448374693113,2,5,ENABLED,YES,10,30,SW9 9,0.0,-1,foodhub,napurarestaurant.com,Lulas à Sevilhana,Calamari,8.50
82,Napura,"['Burgers', 'Desserts', 'Mediterranean']",,,,,,Nunhead Green,SE15 3QF,Nunhead Green,30,,02074503996,napurarestaurant.com,51.465398662852,-0.05817448374693113,2,5,ENABLED,YES,10,30,SW9 9,0.0,-1,foodhub,napurarestaurant.com,Polvo A Lagareiro,"Octopus with olive oil and garlic ,herbs",18.50
85,Oregano Leaf,"['Pasta', 'Pizza']",,,,,,Newcross,SE14 5BA,Newcross Road,98,,02072777778,oregano-leafpizzeria.com,51.47644651090331,-0.04912663680534335,2,5,ENABLED,YES,15,45,SW9 9,0.0,3,foodhub,oregano-leafpizzeria.com,"15"" Margharita",,10.00
86,Oregano Leaf,"['Pasta', 'Pizza']",,,,,,Newcross,SE14 5BA,Newcross Road,98,,02072777778,oregano-leafpizzeria.com,51.47644651090331,-0.04912663680534335,2,5,ENABLED,YES,15,45,SW9 9,0.0,3,foodhub,oregano-leafpizzeria.com,"10"" Margharita",,8.00
87,Oregano Leaf,"['Pasta', 'Pizza']",,,,,,Newcross,SE14 5BA,Newcross Road,98,,02072777778,oregano-leafpizzeria.com,51.47644651090331,-0.04912663680534335,2,5,ENABLED,YES,15,45,SW9 9,0.0,3,foodhub,oregano-leafpizzeria.com,"10"" Vegetariana",,11.45
88,Oregano Leaf,"['Pasta', 'Pizza']",,,,,,Newcross,SE14 5BA,Newcross Road,98,,02072777778,oregano-leafpizzeria.com,51.47644651090331,-0.04912663680534335,2,5,ENABLED,YES,15,45,SW9 9,0.0,3,foodhub,oregano-leafpizzeria.com,"10"" Free Choice",,12.45
89,Oregano Leaf,"['Pasta', 'Pizza']",,,,,,Newcross,SE14 5BA,Newcross Road,98,,02072777778,oregano-leafpizzeria.com,51.47644651090331,-0.04912663680534335,2,5,ENABLED,YES,15,45,SW9 9,0.0,3,foodhub,oregano-leafpizzeria.com,"10"" Pancetta",,11.45
90,Oregano Leaf Pizzeria,"['Desserts', 'Italian', 'Pasta']",,,,,,Camberwell,SE5 8QZ,Camberwell Church St,44,,02077035555,oreganoleafpizzeriaonline.co.uk,51.473754643256385,-0.08982613649947346,2,5,ENABLED,YES,10,40,SW9 9,0.0,4,foodhub,oreganoleafpizzeriaonline.co.uk,Tiramisu,,3.99
91,Oregano Leaf Pizzeria,"['Desserts', 'Italian', 'Pasta']",,,,,,Camberwell,SE5 8QZ,Camberwell Church St,44,,02077035555,oreganoleafpizzeriaonline.co.uk,51.473754643256385,-0.08982613649947346,2,5,ENABLED,YES,10,40,SW9 9,0.0,4,foodhub,oreganoleafpizzeriaonline.co.uk,500ml Ben & Jerrys Phish Food Ice Cream,,6.99
